"",incident_id,action_notes,action,action_variety,motive,actor,actor_variety,asset.total_amount,asset_cloud,asset_hosting,asset_management,asset_ownership,asset_role,asset_variety,external_actor_country,asset_country,victim_country,day,month,year
4774,EB7AA5C3-3B2D-462F-8EE5-C55C726F7623,,error,Publishing error,NA,internal,NA,,Unknown,,,,,File,,,US,,,2016
9139,6f2f9bf0-e962-11eb-9aea-07892f56ef76,,malware,Ransomware,Financial,external,Organized crime,,Unknown,,,,IT,POS controller,Unknown,,US,,8,2020
8396,CA42F0F9-7DAC-418F-BD54-67AEC34CB009,,error,Misdelivery,NA,internal,NA,,Unknown,,,,,Disk media,,,US,20,5,2013
9268,02a64550-0a3f-11ea-9821-617d71ee6253,Found a way to disable access rights to the data ,hacking,Unknown,Unknown,internal,End-user,1.0,Unknown,,,,IT,Web application,,,TR,,,2018
9786,EF551307-9B76-4F7F-B6C3-A47BA2F913F5,,error,Publishing error,NA,internal,NA,,Unknown,,,,,Web application,,,US,,3,2013
4678,7019DB5A-D535-4C68-9FCC-DE62087BD64F,,misuse,Possession abuse,Financial,internal,Financial,,Unknown,,,,,Documents,,,US,,,2013
6240,95ACEA3B-72F6-437A-96D6-DED71D4DD3B7,,physical,Tampering,Financial,external,Organized crime,,Unknown,,,,,POS terminal,US,,US,,,2013
10035,F6D4FE67-8416-4C14-A9C7-7FD8CEED66AA,The leaked data has been uploaded to anonfiles.me in the format of a compressed rar file that contains the complete database extraction from the site in CSV format,hacking,Exploit vuln,Unknown,external,Activist,,Unknown,,,,,Unknown,Unknown,,GB,,,2012
5217,7CF99F57-175C-4E15-9240-735A3B19B9C9,,error,Loss,NA,partner,NA,,Unknown,External - unknown environment,External,,,Flash drive,,,US,,2,2013
2435,3A742F30-39E2-4CCF-86FD-29015A6D71AA,,physical,Theft,Unknown,external,Unknown,,Unknown,,,,,Desktop or laptop,Unknown,,US,29,7,2011
5292,7F3A71FF-1FC3-4389-B275-809A61B1EF10,,error,Misdelivery,NA,internal,NA,,Unknown,,,,,Documents,,,US,29,3,2013
1876,2CBF8964-F1B4-4A3E-9DE5-4D39A405AF64,,physical,Theft,Financial,external,Financial,,Unknown,,,,,Documents,Unknown,,CA,,,2014
2549,3D5AEF06-501B-4D6F-A167-A73526CBEDDE,,misuse,Privilege abuse,Unknown,internal,Unknown,,Unknown,,,,,Database,,,US,27,12,2013
